method;positive/false pos;exclusion;url;title;author;Profile;Location;Work;Year;date;hashtags
crawler;positive;;https://dev.to/luciunknown/empathy-with-another-dev-s-code-4abm;Empathy with another dev's code;Luciano Cardoso;https://github.com/cardocha;Brazil;Software Developer;2019;Jun 29 '19; discuss dev begginers carrers
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/thinkster/why-your-empathy-gets-you-nowhere-4eca;Why Your Empathy Gets You Nowhere;Joe Eames for Thinkster;;;;;Jul 23 '20; impact webdev productivity change
crawler;duplicated;duplicated;https://dev.to/benjamminj/coding-with-empathy-2f5a;Coding with empathy;Benjamin Johnson;;;;;Feb 16 '19; programming software empathy
crawler;duplicated;duplicated;https://dev.to/cheetah100/ownership-empathy-and-efficiency-15em;Ownership, Empathy and Efficiency;Peter Harrison;;;;;Aug 30 '18; teams morale empathy efficiency
crawler;duplicated;duplicated;https://dev.to/amcaplan/why-i-created-dev-empathy-book-club-51bj;Why I Created Dev Empathy Book Club;Ariel Caplan;;;;;Apr 26 '18; empathy bookclub
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/history_dev/the-pythagorean-theorem-and-empathy-for-the-past-9b2;The Pythagorean Theorem and Empathy for the Past;History Dev;;;;;Dec 9 '21; mathematics pythagoras empathy programming
crawler;duplicated;duplicated;https://dev.to/bbbbruni/stop-being-a-toxic-person-start-to-have-empathy-54h9;Stop being a toxic person, start to have empathy.;Bruno Almeida;;;;;Jan 20 '19; discuss empathy
crawler;duplicated;duplicated;https://dev.to/davidsonsousa/fellow-developer-the-lack-of-empathy-may-be-killing-your-career-4j4l;Fellow developer: The lack of empathy may be killing your career;Davidson Sousa;;;;;Apr 25 '19; developer career empathy
crawler;positive;;https://dev.to/psaillesh/empathy-the-skill-i-want-to-have-to-be-become-a-good-software-developer-11i0;Empathy the skill I want to have to be become a good software developer;Saillesh pawar;https://github.com/SailleshPawar;India;Software Developer;2020;Apr 5 '20;
crawler;positive;;https://dev.to/lightstep/leading-sre-with-empathy-1g6b;Leading SRE with Empathy;Ana Margarita Medina  for Lightstep;https://github.com/AnaMMedina21;USA;Staff Developer Advocate;2015;Aug 15; sre devops cloud architecture
crawler;positive;;https://dev.to/chenmike/building-empathy-as-a-software-developer-3leb;Building empathy as a software developer;Mike Chen;https://github.com/mhchen;USA;Software Developer;2020;Jun 2 '20; beginners softskills career
crawler;positive;;https://dev.to/drnugent/global-developer-relations-with-empathy-and-compassion-1e60;Global Developer Relations with Empathy and Compassion;Dave Nugent / Johanna Koester;https://github.com/drnugent;USA;software developer/Developer Advocate;2020;Sep 8 '20; devrel opensource leadership gratitude
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/pavsaund/coding-with-empathy-in-2017-5b1a;Coding with Empathy in 2017;Pavneet Singh Saund;;;;;Dec 31 '17; gratitude habits softwaredevelopment programming
crawler;false positive;Practitioner profile not found;https://dev.to/silvestricodes/cognitive-empathy-walking-in-their-shoes-mbh;Cognitive Empathy: Walking in Their Shoes;Jonathan Silvestri;;;;2019;Apr 18 '19; career advice
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/anuragjha/implementing-empathy-585m;Implementing Empathy;Anurag Jha;;;;;Apr 6 '20; blockchain crypto empathy
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/mortoray/does-programming-require-empathy-4m0j;Does programming require empathy?;edAqa mortoray;;;;;Nov 7 '18; discuss
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/this-is-learning/how-empathy-from-my-manager-changed-my-life-1ac0;How empathy from my manager changed my life;Santosh Yadav for This is Learning;;;;;Mar 10 '21; leadership personalgrowth
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/ryderdamen/deleting-with-empathy-1jo5;Deleting With Empathy;Ryder Damen;;;;;Oct 24 '19; docker onboarding devops devrel
crawler;positive;;https://dev.to/liquid_chickens/empathy-in-dev-and-ops;Empathy in Dev and Ops;Chris Dodds;https://github.com/chrisdodds;USA;Site Reliability Engineer;2017;Apr 13 '17; devops
crawler;positive;;https://dev.to/clairebaire/developing-with-empathy-introduction-92m;Developing with Empathy: Introduction;Claire Lipskey;https://github.com/clairebaire;USA;Software Engineer;2020;Jul 8 '20; webdev javascript typescript
crawler;positive;;https://dev.to/clairebaire/developing-with-empathy-single-responsibility-359;Developing with Empathy: Single Responsibility;Claire Lipskey;https://github.com/clairebaire;USA;Software Engineer;2020;Jul 12 '20; javascript typescript webdev
crawler;positive;;https://dev.to/clairebaire/developing-with-empathy-reusability-b6a;Developing with Empathy: Reusability;Claire Lipskey;https://github.com/clairebaire;USA;Software Engineer;2020;Sep 10 '20; javascript webdev
crawler;positive;;https://dev.to/clairebaire/developing-with-empathy-using-a-code-style-guide-48j4;Developing with Empathy: Using a Code Style Guide;Claire Lipskey;https://github.com/clairebaire;USA;Software Engineer;2020;Sep 12 '20; javascript css typescript webdev
crawler;false positive;external link only;https://dev.to/olddutchcap/empathy-and-the-other-side-of-impostor-syndrome-ijm;Empathy And The Other Side of Impostor Syndrome;Onorio Catenacci;;;;;Oct 2 '20;
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/david_whitney/hiring-is-broken-let-s-fix-it-with-empathy-2om9;Hiring is broken! Let's fix it with empathy.;David Whitney;;;;;Sep 30 '21; culture webdev leadership career
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/mcsee/code-smell-97-error-messages-without-empathy-4lpo;Code Smell 97 - Error Messages Without Empathy;Maxi Contieri;;;;;Oct 27 '21; opensource ux programming javascript
crawler;false positive;Practitioner profile not found;https://dev.to/mural/moving-towards-an-accessibility-first-approach-5447;Moving Towards an Accessibility-First Approach;tessa for MURAL;;;;;May 5 '21; a11y education culture mural
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/suhailkakar/best-design-resources-for-developers-ii-2g5a;Best Design Resources for Developers - II;Suhail Kakar;;;;;Aug 19 '21; javascript design react programming
crawler;duplicated;duplicated;https://dev.to/inovizz/why-do-software-developers-need-to-be-more-empathetic-27m;Why do Software Developers need to be More Empathetic?;Sanchit Balchandani;;;;;Dec 24 '20; softwaredeveloper life empathy sympathy
crawler;duplicated;duplicated;https://dev.to/sturdynut/coding-without-ego-503k;Coding without Ego;Matti Salokangas;;;;;Mar 1 '20; ego empathy coding softwaredevelopment
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/pavsaund/rituals-of-shaming-in-the-software-industry;Rituals of Shaming in the Software Industry;Pavneet Singh Saund;;;;;Jan 13 '17; empathy shame programming softwaredevelopment
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/educative/6-examples-of-how-artificial-intelligence-is-used-in-the-arts-2ael;6 examples of how artificial intelligence is used in the arts;Amanda Fawcett for Educative;;;;;Aug 20 '20; machinelearning ai culture
crawler;false positive;Practitioner profile not found;https://dev.to/codecrafttechnologies/design-thinking-1j6k;Design Thinking;Codecraft Technologies;;;;;Jul 27 '20;
crawler;duplicated;duplicated;https://dev.to/dkassen/nonviolent-communication-in-code-reviews-3jh2;Nonviolent Communication in Code Review: Receiving Comments;Daniel Kassen;;;;;Oct 21 '19; eq communication empathy
crawler;duplicated;duplicated;https://dev.to/tstromberg/motivating-software-engineering-teams-n1n;Motivating Software Engineering Teams;Thomas Strmberg;;;;;Mar 9 '21; management empathy purpose craftsmanship
crawler;duplicated;duplicated;https://dev.to/aprilwensel/user-tests-will-make-you-a-better-developer;User Tests Will Make You a Better Developer;April Wensel;;;;;Feb 16 '17; ux agile empathy design
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/lkopacz/a11y-and-js---a-seemingly-unconventional-romance-24i0;a11y and JS - A Seemingly Unconventional Romance;Lindsey Kopacz;;;;;Jan 28 '19; discuss a11y javascript frontend
crawler;duplicated;duplicated;https://dev.to/_adam_barker/one-way-to-level-up-your-development-career-4kcn;One Way to Level Up Your Development Career;Adam Barker;;;;;May 26 '19; career business perception empathy
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/codepo8/a-worrying-change-in-open-source-perception-30m7;A worrying change in Open Source perception;Christian Heilmann;;;;;Jul 12 '19; opensource community empathy codequality
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/_adam_barker/one-of-the-most-useful-software-development-skills-has-nothing-to-do-with-software-development-22l6;One of the Most Useful Software Development Skills Has Nothing To Do With Software Development;Adam Barker;;;;;Apr 10 '18; softwaredevelopment empathy solvingproblems mindset
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/wilburpowery/be-a-good-person-ef;Be a good person;Wilbur Powery;;;;;May 14 '18; person goods empathy work
crawler;false positive;discussion about technical issues;https://dev.to/frantic/how-to-convince-your-boss-to-use-reactnative-4a2;How to convince your boss to use ReactNative;Alex Kotliarskyi;;;;;Mar 23 '19; reactnative react empathy
crawler;duplicated;duplicated;https://dev.to/varenya/under-appreciated-skills-of-a-software-developer-39jn;Under-Appreciated Skills of a Software Developer;Varenya Thyagaraj;;;;;Mar 14 '21; javascript softskills empathy
crawler;false positive;Practitioner profile not found;https://dev.to/one-beyond/become-a-chameleon-thanks-to-introversion-and-shyness-268p;Become a chameleon thanks to introversion and shyness;Alberto Turgano for One Beyond;;;;;Dec 21 '21; psychology empathy interview selfconfidence
